postID,theDate,thread,prompt,post,userID
103128,1421695808,5,Week 1,"So,  I put one cup of tap water into two mugs.  I poured salt into one cup and let them sit for five hours, just so both cups would be at the same temperature.  I aded ice cubes to each and watched.  At first I didnt see much difference, It seemed they were melting at the same rate.  I then stirred the cup because the salt was concentrated at the bottom.  I watched for a total of four minutes, and the end result was the regular tap water melted the ice faster.    

When I spoke with Vesal and Lama on Friday, my hypothesis was the regular water would melt the ice faster.  I think this happens because the salt in the salt water is consumed by the water, so it does not affect the ice in the same way as it does when you put salt on the ice in your driveway. In the latter case, there are no other agents involved, just the ice and the salt.  When we are dealing with the experiment, the salt has already mixed with the water and is (for lack of a better word), occupied with the water.  

This leaves me with another question.  We know that ice melts because of heat transfer.  If the water in both the cups were at the same temperature, why didnt the ice melt at the same time.  Does salt that is occupied cause some type of block to the heat transfer?  

 
",5
103131,1421702077,6,Week 1,"I hypothesised that the ice cube would melt more quickly in the salt water.  I thought about how we use salt on the roads to help melt the ice, so I thought this would be true in the salt water cup as well.  When I did the experiment, it was clear that the ice cube melts more quickly in the fresh water.  My hypothesis was incorrect, but why?  Clearly the presence of the salt does somehting to slow down the heat transfer, but what?  I wondered if the salt created a chemical bond with the water, but I believe that salt water is a mixture (no chemical bonding) becuase it can be reversed.  I could leave the salt water out long enough to let the water vaporize and I would be left with the salt.  So, if the salt didnt chemically bond with the water, what happened that was different than in the fresh water?  The ice cube is chemically the same as the water in the cups, just in a different state.  Im also remembering about the idea that wamer water can hold more disolved salt than cooler water.  This is telling me that temperature is an important factor somehow, but both our cups had the same temperature water.  Since melting ice cubes is all about phase change and phase changes are all about temperature (heat energy) and the proximity of molecules to one another, AND temperature is not a variable difference between the two cups, then the salt must be affecting how the molecules of water move closer or farther apart.  Now, Im thinking about Bens idea (from the pre-test) of air pockets in the icecubes.  He talked about little pockets of air getting in the way of the water molecules being able to bind together more closely during its phase change from water to ice.  He used these captured air pockets to explain why frozen ice can take up more space, or expand, than it does in its liquid state (water).  If he was right (and I have no idea if he was), couldnt the salt do the same thing in our experiment?  Couldnt the salt molecules be getting in the way?  When heat travels, it goes from warmer (the water/salt water) to the cooler thing (ice cube).  As the heat leaves the water/salt water, then it will have less heat making its molecules want to move closer together.  However, if the salt molecules are in the way, or need to be moved out of the way, then this could slow down the movement of the heat from the salt water to the ice cube.  I have no idea how to test this idea.  Help.  Also, I am now confussed as to why we use salt to melt ice on our roads in the winter. 
",6
103132,1421702391,1,Week 1,"I hadnt thought about putting the salt into the water to help it boil faster.  Ive always wondered if that was an old wives tale or fact?  But its got me wondering...  If it was true than, the salt would be helping the heat move from liquid to gas more quickly.  If salt helps to speed up heat transfer, shouldnt it help heat move from the salt water to the ice cube too in our experiment?  I might need to test the salt and boiling water for my own understanding.
",6
103133,1421702552,2,Week 1,"Deanna, I posted my thoughts to you, but under your comments on Donnas thread.  Id love to flesh this idea out some more.
",6
103134,1421703043,3,Week 1,"If the salt water has more energy, wouldnt it melt the ice cube more quickly?  This is the exact opposite of what weve seen.  I think the salt water has less heat energy.  I also find the fact of the salt water volume raised by a 1/2 inch when the salt was added.  This could be support of my idea that the salt molecules are getting in the way of the water molecules getting closer with cooler temperatures.  Colleen, thanks for being so detailed as you did your experiment!  I still dont get why we would use the salt on the road to melt ice if we get these results in this experiment.  I think maybe someone was on to something when they said that we use the ice to keep the roads from freezing rather than melting the ice.  That seems to make more sense with what we are seeing.
",6
103140,1421724026,7,Week 1,,7
103144,1421758637,6,Week 1,"Im wondering if the temp of the water might have something to do with this.  The temp of the water is lowered (as Paul indicated in his experiment), so if thats the case, it would slow down the melting of the ice.  I doubt it could be that simple, though.  Maybe trying different amounts of salt, different starting temperatures of the water, changing one variable at a time and monitoring the outcomes.  Thats my suggestion for a starting point.  
",1
103326,1421784895,8,Week 1,"by Karen and Katie 

So, we thought about this question and thought that the salt water would melt faster, it just made sense considering that we know that salt is used on roads to melt ice.  We know that the principle is that the salt lowers the freezing temperature of the water when it is added to the roads so instead of the roads icing over at 32 degrees it needs to be a bit colder before it will turn to ice.  However, after watching Donna&rsquo;s video which clearly showed that the ice cube melted in the pure water faster than the salt water we needed to rethink it.  We started by thinking again how salt is applied to the roads to prevent them from freezing over.  We also considered how one could add salt to a pot of water when you boil it.  After some consideration, we agreed that the reason you add salt to pasta water is to raise the boiling temperature, it forces the water to reach a higher temperature before it starts to boil.   So, when considering these two things, adding salt to water not only reduces it freezing point it also raises its boiling point.  It allows water to stay in its liquid state for a wider range of temperatures.  So, we feel that somehow adding salt to the water insulates the water molecules and allows them to stay at their given temperature for a longer period of time.  The salt creates a barrier of sorts for the water molecules?  So, in considering the experiment, the pure water molecules are not as insulated from the ice cube as the water molecules in the salt water.  As the ice cube is dropped in the cup with the pure water, it touches the water molecules, which are warmer than the temperature of the ice cube.  At this point the ice cube begins to melt.  On the other hand, when the ice cube is dropped into the cup with the salt water, the salt creates a barrier between the ice cube and the water molecules and therefore the ice remains protected from melting for longer.  So, rather than think about it as the ice is melting faster in the pure water&hellip;we think about it as the salt water is protecting the ice from melting better than the pure water.  We also thought about the situation with an ice cream maker&hellip;a friend of ours has an ice cream maker and in order to make the cream turn to ice cream she needs to add rock salt.  There are two containers, an inside container and an outside container.  You put ice, water, and rock salt in the outside container and cream and flavor in the inside container and spin.  The salt lowers the freezing temperature of the ice water in the outside container to the point where it is lower than the freezing temperature of the cream so the cream starts to freeze. This lowering of the freezing temperature is what allows the cream to freeze&hellip;if you simply had just water and ice (no rock salt) the freezing temperature would be 0 degrees Celsius and therefore the cream would not reach its freezing point.  We are not really sure how this applies to the principle however it connected to what we were thinking about so figured we would bring it up to the group.
",8
103348,1421796607,1,Week 1,"I havent done experimenting yet. Havent had time. But about the salt in boiling water, I think in order for the water to boil sooner, it may take a lot of salt to have any affect. I dont use that much in my pasta, maybe 1 teaspoon or so.
",2
103349,1421796781,5,Week 1,"Or maybe its friction of some sort. After all salt is a solid and can cause some abrasion on the ice. What do you think?
",2
103350,1421797021,8,Week 1,"About the salt lowering the melting point, I believe it lowers the boiling point also. I need to know how much and what the ratio is; salt to water, to cause this phenomenon. Ill work on this, hopefully tomorrow.
",2
103351,1421797183,3,Week 1,"I believe that the only difference between melting and freezing is the direction of heat flow. The temperature is the same, 0C or 32F.
",2
103352,1421797719,3,Week 1,"You are correct about the ice melting faster in water without salt. So why would I think that salt water melts ice faster? I really dont get it. It seems that salt lowers the temperature and that is why it takes longer to melt In salt water. Now that I think about it, I use ice and salt to freeze home made ice cream. I just dont know why? This is crazy. lol 
",2
103425,1421869806,8,Week 1,"I could be wrong...but I thought that you added salt to the water when you boil pasta for several reasons.  My brothers and I had this debate last year...I think that you add it to make the pasta less starchy (so it stayed together better) as well as made the pasta cook faster.  I remember that if you added the salt the water would have to be higher to boil (so yes, it would take longer to boil) but the water would be hotter so the pasta would cook faster.  I will see if I can find a thermometer and test this tonight.
",8
103520,1421891142,9,Week 1,"Greetings all!

I too ran the super simple experiment and am confuzzled by the results just like most.  I used slightly warmer than room temperature water and the fresh water cube (my freezer makes the ones that are flat on one side and rounded on the other) melted in 5 minutes.  The salt water cube melted in about 20 minutes (4 times faster!).  I am interested in how the salt water in my experiment caused the cube to melt 4 times as fast when the colder water experiment done had the salt water cube taking just twice as fast (30 minutes vs. 60 minutes.)

Thinking about the difference between the warmer water experiment I did and the cooler water experiment done by Donna, I think the salt has an effect on the ices ability to gain heat and not so much that the salt changes how much energy the water has to give.

Karen and Katies post is pretty much what I was thinking.  The salt impedes the heat transfer...like a buffer to the process somehow.

To further investigate this I suggest we test the effect salt has on other examples of heat transfer.  By being able to compare the results between cold fresh water and cold salt water vs. warm fresh water vs. warm salt water and perhaps lets say...an ice cube sitting in the air by itself and an ice cube covered in salt perhaps we can ferret out a few things...

Ill give it a shot and let ya know
",9
103522,1421891437,8,Week 1,"salt gets it to boil hotter...but how this relates to our experiment intrigues me.  I agree with your idea that the salt might act as an insulating agent.  I liked your reasoning about salt playing a role in both the freezing point of water and the boiling point of water in that it raises the boiling point and helps prevent freezing as well.  Your explanation on how this might work at the molecular level is kind of how I was thinking of it to.  Im pouring salt directly on ice right now just to see what it vs. a plain ice cube does.  We definitely need some more info and are just getting started Im sure!
",9
103524,1421891708,8,Week 1,"Karen and Katie - your explanation makes sense with the salt lowering the freezing point of water.  Made so much sense.   I was a little confused with the raising of the boiling point.  If it makes the water boil sooner, how is this increasing the boiling point?  Maybe Im confusing the meaning of what your saying.  After reading your explanation, I took it as the freezing point being lowered, and the boiling occuring sooner - meaning it reaches the boiling point faster - so would that be creating a different (?) temperature scale for water in general?  
",1
103527,1421891863,8,Week 1,"Forgot to mention the salt in the water - I was told it brings the water to a rolling boil Not quite sure what that means - but its supposed to be a different type of boiling?  
",1
103531,1421892170,8,Week 1,"I put salt on an ice cube and left one untouched next to it.  15 minutes later it is certain that the ice on the cube is melting if faster.  I dont know how or if this is related but its more info to work with.
",9
103533,1421892440,10,Week 1,,10
103534,1421892617,6,Week 1,"I think that the amount of salt definitely is a factor. As I look at most of our experiments, we all have varying amounts of water to salt. It makes me think about trying varying proportions to see what that data would look like.
",10
103558,1421931538,8,Week 1,"Donna,

I could be wrong, but when I was saying that it needed a higher boiling point...I was thinking that it would not boil faster, I think that for the water to reach a higher temperature it in fact would take longer to reach that temperature before it starts to boil.  Hope this helps.
",8
103569,1421946411,8,Week 1,"I always thought my Noni added salt to her water for the taste rather than to get the water going quicker.  It gets to that rolling boil simply by boiling aggressively, so there is no stopping it.  Thats why the pasta cooks better in the rolling boil.  

I really loved Katie/Karens persective how the salt in the salt water creates a barrier for the H2O molecules.  That really makes sense.  I remember in my experiment, the ice in the salt water was higher in the water I believe because the density of the salt water was made higher.  This also helps me to look at the salt in the barrier mode so to speak.  I am really confused howevere by the raising and lowering of the boiling and freezing temps.  I understand a little better with the ice cream maker but am still a little confused.  Im not sure how that would play into our scenario.  
",3
103570,1421946671,6,Week 1,"I know our first inclination was that the ice would melt quicker in the salt water because we mentioned that we use it on ice on the roads.  When I finished my experiment I was so confused by why it would melt quicker in the fresh water.  After reading  Katie/Karens explanation it opened my eyes a little as to why we use the salt on ice.  It still confuses me somewhat, but they mentioned that the salt reduces the freezing point, so would it take longer to continue to freeze, and once it cannot it melts??  
",3
103633,1422023664,1,Week 1,"Donna, some comments for you.
",11
103634,1422023704,8,Week 1,"Karen and Katie, some comments for you.
",11
103636,1422023876,4,Week 1,"Chris, some comments for you.
",11
103637,1422023904,5,Week 1,"Tonya, some comments for you.
",11
103638,1422023944,3,Week 1,"Greg, some comments for you.
",11
103640,1422024081,9,Week 1,"Greg, some comments for you.
",11
103642,1422024106,10,Week 1,"Becky, some comments for you.
",11
103643,1422024133,3,Week 1,"Colleen, some comments for you.
",11
103644,1422024153,6,Week 1,"Jen, some comments for you.
",11
103645,1422024180,7,Week 1,"Paul, some comments for you.
",11
103677,1422057627,2,Week 1,"I was able to complete the experiment with salt water. I really wanted to know if salt, and how salt, affected the boiling point of water. It has a strange affect. I am in the process of learning excel so I can show you the results graphically. I can tell you that the point at which water boils changes dramatically when you add salt. Im not sure what any of this means, but I can tell you that water with salt boils at a much higher temperature than clear water. Clear water boiled (rapid boil) at 100 degrees Celsius and it took only 7 minutes. Water with salt did not boil at 100, it was much higher and it took longer than 7 minutes. I thought it would boil sooner at a lower temp. Not true. I will have the results with pictures ASAP. Sorry it took so long.
",2
103678,1422064146,2,Week 1,,2
103679,1422064625,2,Week 1,"This is the data that I collected by heating clear water, 1/4 Cup salt water, 1/2 cup salt water, and 1 cup salt water. The results showed that the clear water came to a rapid boil after 7 minutes. The salt water wouldnt boil at 100C degrees. I should have waited longer to see the actual boiling temp for each of the salt water samples but that is for another test. I do know that for a fact the salt dramatically affected the boiling point. So this leads me to the ice melting in salt water. Salt water must be lower in energy so the ice would take longer to melt in salt water.
",2
103680,1422105365,4,Week 1,"Hi Chris ~ I find this mind-boggling as well!  I think we were all surprised at the outcome.  I find myself thinking of it day and night!!  So one thing I was thinking about was from another post that I saw.  I cant remember who posted it, maybe Katie and Karen?  Something about salt being an insulator and slowing the ability of the cube to absorb the warmer water. This makes sense to me.  Last night, I was chopping the ice off my driveway for the impending snow falling as I write this, and as I chopped, once I was unable to keep going, I would move to a different spot.  When I had reached my limit of chopping where I was, I again moved back to the other area to see if any more has loosened up.  It had!  And it has melted more from the bottom, not the top where I thought the sun hitting it might have melted it.  Of course it got me thinking about the salt - so I wondered if the salt (that had mixed into the ice - I hadnt put any new salt down) had somehow done something within the ice and the water that was melting the bottom allowed it to just seep under more and melt it little by little as I was chopping in another area.  Not completely scientific, but it got me thinking about it being insulated somehow?  I am going to try a couple of things today - what are your thoughts on the insulation idea?
",1
103681,1422105672,9,Week 1,"Hi Greg ~ I will be experimenting today - I am thinking the same thing as you with what Katie and Karen said, somehow the salt is slowing down the absorption of the warmth of the water surrounding it.  I am making salty ice cubes and will so a little bit with them in different temps/saltiness, also regular cubes in different amounts of salty water.  Im thinking if the salt is some kind of insulator, different amounts of salt should matter too  More insulated vs. less insulated?  Like wearing a sweater on a cold day vs a parka?  More posts to come!
",1
103682,1422107814,1,Week 1,,1
103688,1422123203,4,Week 1,"Chris-

As I read your experiment, the observations you made really stuck out to me. I began to think about the clear boundary around the ice cube in salt water versus the frosted appearance near the ice cube in the tap water. There is definitely something behind that observation and knowing that salt water is a mixture I am puzzled as to how it changes the melting point of ice. I noticed that Dona suggested the idea of insulation, which now gives me something else to think about.
",10
103689,1422130810,6,Week 1,"response to instructor feedback
",6
103690,1422131558,2,Week 1,"Your experiement was really helpful and well done.  Im now very curious to know what the new boiling points would be for those samples.  So, salt lowers the freezing point and raises the boiling point when mixed with water.  I would have expected it to alter the energy shift in the same direction, not opposite directions.
",6
103691,1422132470,4,Week 1,"Chris,

I had a very similar experience to yours with my hypothesis and experiement.  I had also noticed that the two ice cubes seemed to melt at the same rate for a bit, but then the cube in the fresh water melted much faster than the one in the salt water during the second half.  I wonder if the clear vs frosted edges you observed has something to do with this.  This and Donnas ice chopping make me think about surface area, like with the mentos and diet coke experiement.  Could that be a factor here?  Maybe the frosted edge of the fresh water cube had pocket, or divets melted out of it giving it more surface area for the heat to move more quickly from the water to the ice cube?  I also had pondered if the salt in the mixture requires more energy to move the salt molecules out of the way so that the water molecules can get together to form the solid?  Lastly, Deanna did an experiement showing that the boiling point is raised by adding salt.  If you are correct that melting/freezing points are connected, then the salt cant both raise the boiling temp. and lower the freezing temp of salt water.  Are we sure that salt lowers the freezing temp of water?
",6
103694,1422133355,7,Week 1,"Paul, 

The data you collected about the temp. droping 3 degrees as soon as you added salt is really helpful.  People have suspected this, but I think you were the only one who documented it.  But Im confussed because if the salt lowered the water temp. AND Deanna showed that salt increased the boiling point, how can both be true.  I always thought there was a fixed range between the boiling and melting points. They either both need to increase or both decrease, but our data is showing them moving in opposite directions??!!!??  Also, you refered to the salt water as a solution.  Im not sure if its a solution or a mixture?  Right now Im leaning toward mixture because the process can be reversed.  I can let the water evaporate and  be left with the salt.  I think this is an important point for our community to figure out because a solution would include chemical reactions affecting the heat transfer. 
",6
103703,1422138747,7,Week 1,"Hi Jennifer and thanks for the questions.  Here is what I know to be true having taught physical science to 8th graders for several years- I am pretty confident in this information:  The lower temperature when I added salt to liquid water is not the same thing as melting point.  Many solutes will lower the temperature as they enter into solution because they require energy to dissolve (not sure of the reason).  So,this is not the same as boiling point elevation.  Secondly, a solution IS a mixture- it is actually the most thoroughly mixed one as it is mixed at the molecular level. But once again, I cant really explain the difference in deeper terms so your questions are making me realize how much I really dont know about this phenomenon.
",7
103709,1422139775,7,Week 1,,7
103711,1422140434,10,Week 1,"Becky,  I found it interesting that you had similar time results to my experiment (roughly double the melting time) with far less salt.  I put a full quarter cup of salt in a glass.  It was so salty that the solution was cloudy for my entire experiment.  Did your cloudiness look like small bubbles?  Did it gradually clear from bottom to top- that might indicate that it was gas bubbles.  

You mention in your conclusion how the melting point is lowered but to me this seems inconsistent with what we are observing (the ice melting slower).   If the melting point is now lower, I think the ice would melt faster such as it does with rock salt?
",7
103728,1422226074,11,Week 1,"I am really sorry about the last entry. This is the full version. I did not realize that I inserted only the excel.
",2
103729,1422226119,12,Week 1,"Take 2, Full version
",2
103730,1422229116,12,Week 1,"New Chart includes boiling points. I wanted to see at what point does salt water boil. It depends on the ratio of salt to water. The end points on this graph show rapid boil temperatures. Clear water boiled rapidly at 100.0 degrees Celsius. 1/4 cup salt in water boiled at 103.2 degrees Celsius. The 1/2 cup salt in water boiled at 106.0 degrees Celsius and the 1 cup salt in water boiled at 107 degrees Celsius. 

 
",2
103735,1422234835,8,Week 1,"&ldquo;So, when considering these two things, adding salt to water not only reduces it freezing point it also raises its boiling point. It allows water to stay in its liquid state for a wider range of temperatures.&rdquo;

Very interesting idea! I guess I always assumed that if salt lowers the freezing point of water, than it must also lower its boiling point as it essentially causes a &ldquo;shift&rdquo; in waters liquid state to a lower range. I have absolutely no evidence to support this, so it has always just been my assumption! If salt does in fact lower the freezing point of water while raising its boiling point, Im very curious to explore how it does this as I cant really wrap my head around the fact that it could create a wider range of liquid state rather than just shifting it to a lower (or higher), level. I havent finished reading all posts from the week at this point to see if anyone has experimented with this yet, but Im inspired to test it out!
",4
103736,1422235535,2,Week 1,"I would have thought the exact same thing, Jenn, and I actually just mentioned that in my response to Katie and Karen. Im very curious how this might be the case as a directional shift seems more likely, but is clearly not the case based on the results of Donnas experiment. So, Donnas experiment concludes that as more salt is added, the boiling point of water increases, causing the water to come to a boil at a much higher temperature. Im guessing that adding salt to water has the same impact on the other end of the spectrum and that adding more salt to water will lower its freezing point more significantly until some sort of minimum possible freezing point is reached. 
",4
103737,1422235959,2,Week 1,"Deanna,

Thanks for conducting your experiment and graphing the results in excel. Great work! So your experiment demonstrates that adding salt to water increases its boiling point rather than decreasing it, causing the water to come to a boil at what I would guess is a much higher temperature, and that as more salt is added, the boiling point of the water increases. I wonder just how high waters boiling point can raise to when salt is added, and how much salt is required to get us to that point? On the other end of the spectrum, I wonder the same thing about the affect of salt on waters freezing point? There must be a floor at which a certain quantity of salt will no longer be able to lower the freezing point of the water any further. 
",4
103738,1422237018,4,Week 1,"Hi guys,

Thank you all so much for such great feedback! This one is really frying my brain! I love the driveway-ice-chopping parallel, Donna! Ive noticed the same thing when removing ice from my driveway, and I like your idea of the salt acting as a sort of insulator.  Katie and Karen posted about salt acting as a barrier between the ice and water molecules, and I am very interested to see where this might lead us as it seems very plausible given our observations, Im just not sure what might be going on at the molecular level that would cause salt to act as a barrier/insulator.

Jenn, the more I think about it, I guess Im really not sure that salt does in fact definitely reduce the freezing point of water. I guess it is just a deeply ingrained assumption that I have always held onto! This should be a pretty easy one to experiment with and I am very curious, so Ill try to make some salty ice cubes and observe as quantifiably as possible in the coming days!
",4
103739,1422237421,4,Week 1,"Jenn, I forgot to mention your comment about the salt impacting the surface area of the ice in some way that might result in its freezing at a slower rate. Interesting idea! Ive done experiments with ice cubes in years past and crushed ice melts and cools water substantially faster than larger ice cubes. Perhaps there is a similar phenomenon happening here, but, as you mentioned, the salt water is somehow smoothing the surface of the cube. In this sense, I can definitely see that the ice cube in plain water would have more surface area due to its pocked surface, and as such, would melt faster. Now Im curious to see the rate at which the temperature of each glass of water decreases. Im guessing that since the ice cube in fresh water melts faster than the ice cube in salt water, that the temperature of the fresh water will decrease much more quickly?
",4
103740,1422237429,4,Week 1,"Jenn, I forgot to mention your comment about the salt impacting the surface area of the ice in some way that might result in its freezing at a slower rate. Interesting idea! Ive done experiments with ice cubes in years past and crushed ice melts and cools water substantially faster than larger ice cubes. Perhaps there is a similar phenomenon happening here, but, as you mentioned, the salt water is somehow smoothing the surface of the cube. In this sense, I can definitely see that the ice cube in plain water would have more surface area due to its pocked surface, and as such, would melt faster. Now Im curious to see the rate at which the temperature of each glass of water decreases. Im guessing that since the ice cube in fresh water melts faster than the ice cube in salt water, that the temperature of the fresh water will decrease much more quickly?
",4
103741,1422238164,4,Week 1,"Vesal and Lama,

Thank you for your comments! Ive attached some responses in a document.
",4
103742,1422242090,9,Week 1,"Greg, I am not sure that I am reading your results correctly.  Are you saying that a fresh water ice cube in your warm salt water melted FASTER than the fresh cube in fresh water?  

There is also discussion connected to your post regarding the boiling point of water and whether or not is is depressed or elevated by salt in solution.   Deanna and Donna seem to disagree on that point- I am not sure now.  I do know that sugar elevates the boiling point.

 
",7
103743,1422272156,13,Week 1,"Just a quick comment - I was watching the weather channel this morning and Al Roker was saying that the salt they throw on the pavement before a storm allows for the temperature to be lower before precipitation freezes, meaning it will take a longer period of time for it to ice over with a lower temp - say 20 minutes for 30 degrees, the lower the temp goes the sooner the ice will happen.  This speaks to our point about the insulation I believe.  Thoughts?
",1
103857,1422376376,3,Week 1,"What you experienced is what I experienced in hypothesized.  I am thinking about the fact the ice cube in the salt water was more exposed tot he outside air than the ice in the freshwater.  Do you think this may have something to do with why the the ice melted faster in the freshwater?  

I am really trig to understand why ice melts in freshwater rather than the salt water. What does the salt do to slow down the melting process?  What is the difference between this process and when we use salt to melt ice on our driveways?  Is the salt melting the ice, or is it serving as another type of agent?  

 
",5
103862,1422376979,9,Week 1,"Greg,

I want to make sure I am reading your results correctly. Are you saying that the ice melted faster in the freshwater or the saltwater?  I am going to assume you mean it melted faster in the freshwater (as this is what happened in my experiment and in Colleens).

I too believe the salt acts a an agent to impede the ice melting in this process.  However I do not understand how salt melts ice on our driveways.  Maybe because in our experiment we exposed the ice to a mixture of salt and water, and when we use salt on our driveways we are exposing salt directly to the ice?  Maybe the in our experiment the water is occupied with the salt, and the salt cant do its thing, so to speak.

 
",5
103863,1422379474,14,Week 1,,3
103864,1422381147,5,Week 1,"

 
",5
103884,1422453857,8,Week 1,,12
103887,1422459450,10,Week 1,,10
103890,1422478957,13,Week 1,"I am really grasping on to the insulation theory in our experiment.  Could the salt act as an insulation between the water and the ice, meaning it protects the ice longer from melting.  This may be why my class had condensation on the outside after about 15 minutes.  Did anyone else see condensation on the salt water glass?  
",3
103902,1422489614,1,Week 1,,9
103903,1422490349,9,Week 1,,9
103907,1422492880,2,Week 1,"Deanna,

Thank you for conducting your experiment...it is very interesting and shows that salt does indeed raise the boiling point of water.  I am curious as to how much the boiling point is actually increased.
",8
103908,1422492938,3,Week 1,,9
103910,1422493068,12,Week 1,"Very interesting...the more salt the higher the boiling point.  I have been thinking about how I could test the same with the freezing point...this would be a little harder to determine...#1, how frozen is frozen...#2, how to keep track in a freezer?  Also, now with these results, how do these tie in with the melting ice in a cup experiment...how do you think this helps explain why one melts faster than the other?
",8
103919,1422495927,15,Week 1,"Tonya

Our hypothses were completely different. Both Katie and I were positive the ice would melt faster in the salt water. We were certain it would melt because of the connection we made to using salt to melt the ice on the roads and sidewalks. Unfortunately we did not do the experiment. We are going to do the experiment next week. I am looking forward to comparing our observations with you. With that being said, you brought up some thoughts that got me thinking. You stated that perhaps the water consumed the salt and therefore had no effect on the ice. It got me thinking that maybe because we do in fact put the salt directly on the ice thats why it melts. I wonder if the salt water acts as a buffer and it slows down the ice melting. 
",12
103920,1422496809,16,Week 1,"Jen

My hypothesis was identical to yours. Both Katie and were sure we were right, we even connected it to salting the roads and sidewalks. It made sense. We didnt do the experiment. Based on everything Ive read the outcome was the same. The ice melted faster in the freshwater. I am still confused why but, when reading Tonyas thoughts they made me wonder. We apply the salt directly to our roads and sidewalks, step back and watch it melt. In the experiment you did, you allow the salt to dissolve in the water. It doesnt come into direct contact with the ice. Does this new mixture create a barrier or buffer? Im not sure. I am convinced that the new salt water mixture has something to do with it.  I just am not sure about the why ad how. As far as your question about why we use rock salt to melt ice, I did see somewhere that not all rock salt melts ice. Some types do in fact melt ice. I wonder if it is because of how its applied.

Thanks for sharing your experiment. 
",12
104174,1422715858,5,Week 1,"Hi Tonya, Im a little confused with the meaning of occupied.   Can you explain your thoughts on that?  I want to be clear with what you are saying so I can bounce ideas off of what you are thinking.  I thought the salt water would melt the ice faster and the idea that it doesnt is consuming my thoughts!  Someone mentioned insulation being a possibility - the salt somehow insulates the ice, so you eluded to that at the end of your post.  If you could clarify the idea of occupied, that would help.  Thanks!!
",1
104161,1422642420,1,Week 3,"Hi everyone,

I havent yet conducted one of the four experiments for the week, but I wanted to post some revised, or at least more expanded, thoughts that I had lingering from week 1 based on some inspiration from a few posts that I read last week. I wasnt really able to describe a mechanism in my original post as I had hit a bit of a mental block, but reading through many of the posts from last week, along with comments from Vesal and Lama, really got me thinking quite a bit more about this. I wanted to post this in order to pull my ideas together into one at least semi-coherent train of thought prior to experimenting this weekend! 
",4
